_id,name,dval,dreason,date
67d9660a5b954dc3cbe76981,sara,8,I hate my life,2025-03-18
67da0aaf8b68166269ea9e55,forest,7,"Feel bad physically, run sucked. Idk why I’d rather die than go grocery shopping",2025-03-18
67db51e0953b0d4395106626,forest,7,,2025-03-19
67db5c0f90f17e46ac8ae21a,sara,10,I’m actually so sad and melancholic and hate my life and myself and everything but it’s fine bc I am not important and I don’t matter,2025-03-19
67dbfbaedb74db8a6d367b23,sara,9,Put me out of my misery. ,2025-03-20
67dca58ad4e0c8f031161058,forest,8,Confused,2025-03-20
67dd978076d07331a9fbe98f,forest,8,The more I think about it the more guilty I feel about how mean I was yesterday. Why am I like this,2025-03-21
67de30ace918a3b3ff30d9da,sara,9,Should I off myself tomorrow,2025-03-21
67deb55c88ace833cf0fd53e,sara,8,I actually want to kill myself and hate myself but what’s new,2025-03-22
67deb64688ace833cf0fd53f,grace,6,"I slept for 12 hours, anime new ep just dropped, and am high rn so life is güd",2025-03-22
67df4185dc9857855eb83b65,forest,6,Resolve,2025-03-22
67e03e674d21b2dfc8e4c3f9,grace,6,"Met cute dowgs at park, eating good noodles, getting high later",2025-03-23
67e03fb84d21b2dfc8e4c3fa,sara,9,I didn’t know it was possible to hate myself this much,2025-03-23
67e03fbc4d21b2dfc8e4c3fb,sara,9,I didn’t know it was possible to hate myself this much,2025-03-23
67e078be4fc84c39985d8ad9,forest,6,"Run went as good as it could have today, and hanging out w friends even though they hate me",2025-03-23
67e1431fc3484454024e9d0a,sara,9,I won’t not be depressed and stressed until after my presentation and Europe trip,2025-03-24
67e19781841acf1a09b7ca27,forest,9,Not even Jupiter can find a lost opportunity ,2025-03-24
67e2a5462bab24daca94aafc,forest,10,"I had forgotten this feeling, that makes me question my core being. Need to repress it again or I’ll go insane",2025-03-25
67e2bbf47ad33b078c9f35c0,sara,8,Cried on the way to work idk why but I couldn’t stop,2025-03-25
67e2c3d9de4d4aa0832ade44,grace,9,booooo but my interview was promising yesterday. cried myself to sleep 👍,2025-03-25
67e3e350e109607571052ffb,sara,4,I know it won’t last,2025-03-26
67e40febc841558dc8c31f7e,grace,8,i’ve been so stressed that i have 6 canker sores atm ;( BUT more houses to tourrr,2025-03-26
67e45ad0c7d3deb9aac19adc,forest,8,哈哈笑笑,2025-03-26
67e52ce7178fe00622f886f9,sara,7,Maybe I won’t cry today for the first time in weeks,2025-03-27
67e5d89084318f8bec53a3f1,forest,8,Take care of the little things everyday,2025-03-27
67e5e4f41c1c8c771a862825,grace,8,meh,2025-03-27
67e67d5c3e0bb2ac263db07a,sara,8,"I want to die and I don’t know why I ever try to be honest with the people in my life. I’m seeing my family friends tonight, maybe that will make me feel better. Prob not. I’m a lost cause. ",2025-03-28
67e710a6126b1a98601c6a3a,forest,7,"It’s not that I believe I can do it, I just have to do it to justify my existence ",2025-03-28
67e8291e8dc0b87fa35b5379,sara,9,I thought I wasn’t gonna cry today but I’m depressed so I can’t help it and feel hopeless,2025-03-29
67e87bab0f9e0da2c4147fcf,forest,7,Fish filet and tofu hit harder than my parents,2025-03-29
67e8b41ac8c78e0291d1440f,grace,8,wet soggy and cold,2025-03-29
67e8c72dffb3a6cf9f22fa23,forest,1,Test,2025-03-30
67e96392e0e2ae3faa335a0f,sara,8,I miss the way things were. I might just do it one of these days. (Do it referring to offing myself),2025-03-30
67e99522cc1d7e8999f726eb,forest,6,"Hip hurt so bad could barely sleep, last long run was v hard. Went grocery shopping tho 😎I like drinking juice from the carton directly",2025-03-30
67ea7cf7e32acaba3cd66acd,sara,7,I know it will go up bc i hate work and am dying and want to kms,2025-03-31
67eaeb3e9b1b06a242cee0a9,forest,7,,2025-03-31
67eaeb689b1b06a242cee0aa,forest,8,,2025-03-31
67eb01b8b8d6a29cf36ec7b4,forest,7,,2025-03-31
67ebb4b51dffda3121d7a11e,sara,10,Why am I always in the shittiest of moods at the airport. I hate everything and want to cry but am in public so I won’t. ,2025-04-01
67ec5020d468a7e45952898e,forest,7,Need to decide soon,2025-04-01
67ed2adfa45071a004254ec0,sara,9,I had a nightmare last night I want to curl up into a ball and die,2025-04-02
67edd440555c4b977fb421eb,forest,6,joipjpklj;lkj;,2025-04-02
67ee785e9379660632832f06,sara,7,Woke up and my knees felt okay but i think they are pulling a prank on me and will start hurting soon.  Also been having terrible dreams lately but haven’t cried yet this morning so we’re thriving,2025-04-03
67eecc86c71b3e6468eb79ff,forest,9,月虹,2025-04-03
67eff547ad3928a1ec90d09b,sara,8,Surprisingly ok today but still #depressed. I still end up having a minor mental breakdown yesterday bc i can’t handle work. ,2025-04-04
67eff99abe7dacb97784923c,forest,9,,2025-04-04
67f19b20967ae79dab0b2d02,sara,8,I am still depressed don’t u worry,2025-04-05
67f19b40967ae79dab0b2d03,grace,6,meow,2025-04-05
67f1bcfa00ce86c946e07de1,forest,7,did alot of cleaning today,2025-04-05
67f28ca915004ce24f362ea0,forest,8,Hip pain got no sleep. Why do I keep making the same mistakes over and over,2025-04-06
67f2ac5b11d124f82552614c,sara,8,Honestly more stressed than depressed today,2025-04-06
67f3d9ba2078d6ccc361385d,forest,8,Tfw u have to stay mentally strong prior to a marathon but have to stay a weekend with the song family and can’t walk w/o pain,2025-04-07
67f461e52c49b0e041f3fd98,sara,8,Worked 10 hrs today. Thriving. I love life. ,2025-04-07
67f541170cedb50ef804e226,sara,9,I hate my life I want to die - at baseline and not depressed depressed anymore tho,2025-04-08
67f57051a256f28690b042da,forest,10,.,2025-04-08
67f65ea2c300e1ae5490f22c,sara,10,I’m gonna end it all today. I feel sick to my stomach. ,2025-04-09
67f6c31eb50573b0dbfad021,forest,8,Protect those precious memories. Also woah my sis got a professor job at Princeton 🤯🤯🤯,2025-04-09
67f7f412d1493b1ead11bd51,sara,9,REGRET. I feel like a fool. ,2025-04-10
67f8203455a91de64a56d330,forest,8,Broken,2025-04-10
67f8f7d74f720563b7d93306,sara,9,So nervios and stressed but it’s fine I need to get my act together and stop being such an anxious bean,2025-04-11
67f98a032b210c8821ea0cfd,forest,8,Feels like the world is just out to get me sometimes. But I suppose this time it truly is the consequences of my own actions,2025-04-11
67fad35479dbac87cb22fde7,sara,7,I am stressed but also feel this is the calm before the storm,2025-04-12
67fafefa3ea780856a4a2944,forest,7,"Hard work will always pay off, just not always in the way you expect",2025-04-12
67fc1b4a930bbf9cc391f4a7,sara,7,Museums were fun albeit tiring and lonely. Plus I feel I’m back to square one. But yay to forest for running a marathon!,2025-04-13
67fc593bab7f1ce8c25221ee,forest,7,disapointed but then I realized its like whatever,2025-04-13
67fd26464b168d02a84ba5eb,forest,6,Every leg muscle hurts. Took the day off work and being a bum 😇,2025-04-14
67fd63ad4b168d02a84ba5ec,sara,8,Can I say 8.5 instead. I hate everything and want to disappear. ,2025-04-14
67fe9e1ddbc051a0513a5a80,forest,8,So tired today terrible headache ,2025-04-15
67febca644738e77620ba078,sara,9,Fml. ,2025-04-15
68000627a514ee589e80b38e,forest,7,My running form looks terrible,2025-04-16
68006dcb94430caa5793d3b5,grace,4,good interviews and mc w forest ,2025-04-16
6801218e2906524f9c0e531e,forest,9,Going to steal sara’s suit jacket ,2025-04-17
68017d796d08156a87addd60,sara,3,Relief. Silvia said our presentation was miles better than all the other ones. ,2025-04-17
680235647b7a806b1080fdfb,grace,8,bizarre depressing dream,2025-04-18
680256ea3d34dcb0f824147b,forest,10,"I hate that I’m so insecure. I hate that I’m jealous of other people’s happiness. I hate that I’m saying this, it makes me sick. I hate that I keep a distance from others but crave attention. I hate that I don’t care about the important things but am set off by the unimportant ones. I hate that I no longer believe in myself and never will again. I hate that I look down on others for being way worse than me while still thinking I’m a genius and trash at the same time. I hate myself I hate myself. I want to destroy myself so I can suffer. Why am I saying these things. It feels like I’ve taken so many wrong turns in life, and there’s no chance of ever being happy now because of those decisions.",2025-04-18
680256fb3d34dcb0f824147c,forest,10,"I hate that I’m so insecure. I hate that I’m jealous of other people’s happiness. I hate that I’m saying this, it makes me sick. I hate that I keep a distance from others but crave attention. I hate that I don’t care about the important things but am set off by the unimportant ones. I hate that I no longer believe in myself and never will again. I hate that I look down on others for being way worse than me while still thinking I’m a genius and trash at the same time. I hate myself I hate myself. I want to destroy myself so I can suffer. Why am I saying these things. It feels like I’ve taken so many wrong turns in life, and there’s no chance of ever being happy now because of those decisions.",2025-04-18
6803c327710f3abf33e841a6,grace,8,i need to make a irl platform to jump off of ,2025-04-19
